abstraction	entity
liberation, release, freeing	accomplishment, achievement
reclamation, reformation	rescue, deliverance, delivery, saving
salvage	rescue, deliverance, delivery, saving
salvage	rescue, deliverance, delivery, saving
salvation	rescue, deliverance, delivery, saving
ransom	recovery, retrieval
recapture, retaking	recovery, retrieval
recapture	seizure
invocation	implementation, effectuation
instrumentation	implementation, effectuation
performance, execution	action
mechanism, mechanics	performance, execution
service	accommodation
encore	performance
extemporization, extemporisation, improvisation	performance
juggle, juggling	performance
trick, magic, legerdemain, conjuration, thaumaturgy, illusion, deception	performance
rendition, rendering, interpretation	performance
reinterpretation	rendition, rendering, interpretation
spin	rendition, rendering, interpretation
bowing	playing
spiccato	bowing
piping	playing
stopping	playing
transposition	playing
computerization, cybernation	automation, mechanization, mechanisation
motorization, motorisation	implementation, effectuation
launching, launch	propulsion, actuation
launching	propulsion, actuation
drive, thrust	propulsion, actuation
firewall	drive, thrust
impulse, impulsion, impetus	drive, thrust
roll, bowl	propulsion, actuation
throw	propulsion, actuation
bowling	throw
fling	throw
heave, heaving	throw
hurl, cast	throw
leaner	throw
pass, toss, flip	throw
pitch	throw
pitch, delivery	throw
ringer	throw
shy	throw
slinging	throw
balk	pitch, delivery
ball	pitch, delivery
beanball, beaner	pitch, delivery
curve, bender	pitch, delivery
duster	pitch, delivery
fastball, heater, smoke, hummer, bullet	pitch, delivery
knuckleball, knuckler	pitch, delivery
screwball	pitch, delivery
sinker	pitch, delivery
slider	fastball, heater, smoke, hummer, bullet
spitball, spitter	pitch, delivery
strike	pitch, delivery
push, pushing	propulsion, actuation
depression	push, pushing
click	depression
nudge, jog	push, pushing
press, pressure, pressing	push, pushing
impression	press, pressure, pressing
shove	push, pushing
bundling	shove
jostle, jostling	shove
elbowing	jostle, jostling
pull, pulling	propulsion, actuation
drag	pull, pulling
draw, haul, haulage	pull, pulling
tow, towage	draw, haul, haulage
tug, jerk	pull, pulling
draft, draught, drawing	pull, pulling
extirpation, excision, deracination	pull, pulling
pluck	pull, pulling
traction	pull, pulling
lift, raise, heave	propulsion, actuation
expulsion, projection, ejection	propulsion, actuation
defenestration	ejection, exclusion, expulsion, riddance
Babinski	reflex
belch, belching, burp, burping, eructation	expulsion, projection, ejection, reflex
belching	expulsion, projection, ejection
blink, blinking, wink, winking, nictitation, nictation	reflex
blush, flush	reflex
spit, spitting, expectoration	expulsion, projection, ejection
vomit, vomiting, emesis, regurgitation, disgorgement, puking	expulsion, projection, ejection, reflex
rumination	vomit, vomiting, emesis, regurgitation, disgorgement, puking
hematemesis, haematemesis	vomit, vomiting, emesis, regurgitation, disgorgement, puking
hyperemesis	vomit, vomiting, emesis, regurgitation, disgorgement, puking
jump, jumping	propulsion, actuation
header	jump, jumping
hop	jump, jumping
leap, leaping, spring, saltation, bound, bounce	jump, jumping
vault, hurdle	jump, jumping
lob	propulsion, actuation
centering, snap	pass, toss, flip
sending	causing, causation
transmission, transmittal, transmitting	sending
forwarding	transmission, transmittal, transmitting
referral	forwarding
remission, remitment, remit	referral
mailing, posting	transmission, transmittal, transmitting
wheeling, rolling	propulsion, actuation
shooting, shot	propulsion, actuation
shoot	shooting, shot
countershot	shooting, shot
discharge, firing	shooting, shot
gun	discharge, firing
gunfire, gunshot	shooting, shot
enfilade	gunfire, gunshot
snipe	gunfire, gunshot
headshot	shooting, shot
skeet, trapshooting	shoot
shellfire	shooting, shot
gunfight, gunplay, shootout	fight, fighting, combat, scrap
potshot	shooting, shot
contact	touch, touching
rub, wipe	contact
scuff	rub, wipe
tap, pat, dab	touch, touching
hit, hitting, striking	touch, touching
contusion	hit, hitting, striking
crash, smash	hit, hitting, striking
impingement, impaction	crash, smash
batting	attempt, effort, endeavor, endeavour, try
fielding	handling, manipulation
catching	playing
golfing	playing
pitching	playing
walk, pass	accomplishment, achievement
best	attempt, effort, endeavor, endeavour, try
worst	attempt, effort, endeavor, endeavour, try
snick	contact
bunt	hit, hitting, striking
fly	hit, hitting, striking
blast	fly
grounder, groundball, hopper	hit, hitting, striking
chop, chopper	grounder, groundball, hopper
roller	grounder, groundball, hopper
out	failure
force	putout
putout	out
strikeout	out
whiff	strikeout
sacrifice	putout
safety	hit
header	hit, hitting, striking
liner	fly
scorcher, screamer	hit, hitting, striking
plunk, plunker	hit, hitting, striking
homer	safety
single, bingle	safety
double	safety
triple	safety
backhander	blow
clip	blow
knock, belt, rap, whack, whang	blow
thwack	blow
smack, smacking, slap	blow
smacker	blow
knockdown	blow
knockout, KO, kayo	blow
TKO	knockout, KO, kayo
swat	blow
spank	smack, smacking, slap
whip, lash, whiplash	blow
punch, clout, poke, lick, biff, slug	blow
box	blow
dig, jab	touch, touching
counterpunch, parry, counter	punch, clout, poke, lick, biff, slug
haymaker	punch, clout, poke, lick, biff, slug
hook	punch, clout, poke, lick, biff, slug
jab	punch, clout, poke, lick, biff, slug
roundhouse	hook
kick, boot, kicking	blow
punt, punting	kick, boot, kicking
dropkick	kick, boot, kicking
kiss	touch, touching
kiss, buss, osculation	touch, touching
smack, smooch	kiss, buss, osculation
smacker	smack, smooch
catch, grab, snatch, snap	touch, touching
interception	catch, grab, snatch, snap
reception	catch, grab, snatch, snap
rebound	catch, grab, snatch, snap
mesh, meshing, interlock, interlocking	catch, grab, snatch, snap
handling, manipulation	touch, touching
fingering	touch, touching
grope	touch, touching
audit	examination, scrutiny
autopsy, necropsy, postmortem, PM	examination, scrutiny
check, checkout	inspection, review
checkup, medical	examination, scrutiny
comparison, comparing	examination, scrutiny
followup, reexamination, review	examination, scrutiny
ophthalmoscopy	examination, scrutiny
palpation	examination, scrutiny, touch, touching
ballottement	palpation
tickle, tickling, titillation	touch, touching
stroke, stroking	touch, touching
caress	stroke, stroking
tag	touch, touching
hit	joining, connection, connexion
interconnection	joining, connection, connexion
intersection	joining, connection, connexion
approximation	joining, connection, connexion
concatenation	joining, connection, connexion
convergence, converging, convergency	joining, connection, connexion
merging, meeting	convergence, converging, convergency
concourse, confluence	merging, meeting
encounter	joining, connection, connexion
articulation	joining, connection, connexion
junction, adjunction	joining, connection, connexion
fastening, attachment	joining, connection, connexion
loosening, laxation	alteration, modification, adjustment
tightening	alteration, modification, adjustment
ligation	tying, ligature
bonding, soldering	fastening, attachment
doweling	fastening, attachment
grounding, earthing	fastening, attachment
linkage	fastening, attachment
tying, ligature	fastening, attachment
untying, undoing, unfastening	loosening, laxation
welding	fastening, attachment
flare	fly
lick, lap	touch, touching
grazing, shaving, skimming	touch, touching
tracing	discovery, find, uncovering
detection, catching, espial, spying, spotting	discovery, find, uncovering
breakthrough	discovery, find, uncovering
determination, finding	discovery, find, uncovering
rediscovery	discovery, find, uncovering
designation, identification	determination, finding
fingerprinting	procedure, process
diagnosis, diagnosing	designation, identification
resolution, solving	determination, finding
validation, proof, substantiation	determination, finding
authentication, certification	validation, proof, substantiation
documentation, support	validation, proof, substantiation
monetization, monetisation	validation, proof, substantiation
probate	validation, proof, substantiation
demonetization, demonetisation	termination, ending, conclusion
falsification, falsifying, disproof, refutation, refutal	determination, finding
localization, localisation, location, locating, fix	determination, finding
echolocation	localization, localisation, location, locating, fix
predetermination	determination, finding
rectification	determination, finding
redetermination	determination, finding
trigger, induction, initiation	causing, causation
fomentation, instigation	trigger, induction, initiation
compulsion, coercion	causing, causation
influence	causing, causation
exposure	influence
overexposure	exposure
underexposure	exposure
impingement, encroachment, impact	influence
manipulation, use	influence
hypnotism, mesmerism, suggestion	influence
inducement, inducing	causing, causation
corruption	inducement, inducing
enticement, temptation	influence
blandishment, wheedling	enticement, temptation
ingratiation, insinuation	blandishment, wheedling
seduction	enticement, temptation
seduction, conquest	success
score	seduction, conquest
cuckoldry	score
solicitation, allurement	enticement, temptation
choice, selection, option, pick	action
casting	choice, selection, option, pick
coloration, colouration	choice, selection, option, pick
sampling	choice, selection, option, pick
decision, determination, conclusion	choice, selection, option, pick
volition, willing	choice, selection, option, pick
intention	volition, willing
reversal	change
adulteration	change
appointment, assignment, designation, naming	decision, determination, conclusion
nomination	appointment, assignment, designation, naming
assignment, assigning	distribution
allocation	assignment, assigning
call	decision, determination, conclusion
delegacy	appointment, assignment, designation, naming
ordination, ordinance	appointment, assignment, designation, naming
recognition	appointment, assignment, designation, naming
move	decision, determination, conclusion
move	turn, play
exchange	capture
exchange	capture
demarche	move
maneuver, manoeuvre	move
parking	maneuver, manoeuvre
move, relocation	change
flit	move, relocation
downshift	change
downshift	change
device, gimmick, twist	maneuver, manoeuvre
mnemonic	device, gimmick, twist
trick	device, gimmick, twist
shtik, schtik, shtick, schtick	trick
feint	maneuver, manoeuvre
juke, fake	feint
footwork	maneuver, manoeuvre
ploy, gambit, stratagem	maneuver, manoeuvre
ruse, artifice	maneuver, manoeuvre
means, agency, way	implementation, effectuation
dint	means, agency, way
escape	means, agency, way
instrument, tool	means, agency, way
road	means, agency, way
measure, step	maneuver, manoeuvre
countermeasure	measure, step
expedient	means, agency, way
backstop	precaution, safeguard, guard
makeshift, stopgap	expedient
crutch	expedient
improvisation	expedient
salvation	means, agency, way
tooth	means, agency, way
voice	means, agency, way
wings	means, agency, way
sortition	decision, determination, conclusion
resolution	decision, determination, conclusion
adoption, acceptance, acceptation, espousal	blessing, approval, approving
embrace, bosom	adoption, acceptance, acceptation, espousal
election	choice, selection, option, pick
reelection	election
plebiscite	vote
referendum	vote
election	vote
primary	election
runoff	election
vote, ballot, voting, balloting	choice, selection, option, pick
reconciliation, balancing	equalization, equalisation, leveling
equation, equating	equalization, equalisation, leveling
cesarean, cesarian, caesarean, caesarian	delivery
midwifery	delivery
score	success
goal	score
strike	score
spare	score
break	score
safety	score
touchdown	score
conversion	score
run, tally	score
rbi	run, tally
basket	score
solution	success
change	action
filtration	change
percolation	filtration
reduction, simplification	change
schematization, schematisation	reduction, simplification
economy, saving	action
retrenchment, curtailment, downsizing	economy, saving
accommodation	alteration, modification, adjustment
adaptation	alteration, modification, adjustment
readjustment	adjustment, accommodation, fitting
domestication	adjustment, accommodation, fitting
decimalization, decimalisation	change
metrification, metrication	change
habituation	adjustment, accommodation, fitting
variation, variance	activity
variation	change
turning	change
diversification, variegation	change
flux	change
switch, switching, shift	change
switcheroo	switch, switching, shift
substitution, exchange, commutation	change
novation	replacement, replacing
superannuation	dismissal, dismission, discharge, firing, liberation, release, sack, sacking
supersedure, supersession	replacement, replacing
supplanting, displacement	replacement, replacing
replacement, replacing	substitution, exchange, commutation
subrogation	substitution, exchange, commutation
weaning, ablactation	substitution, exchange, commutation
promotion	change
preferment	promotion
demotion	change
investment, investiture	promotion
alteration, modification, adjustment	change
distraction, misdirection	revision, alteration
modulation	revision, alteration
qualification	revision, alteration
reorganization	revision, alteration
fossilization, fossilisation	passage, transition
segue	passage, transition
prohibition, inhibition, forbiddance	action
resistance, opposition	action
lockout	resistance, opposition
reaction	resistance, opposition
backlash	reaction
whitelash	backlash
rejection	act, deed
avoidance, shunning, dodging	rejection
aversion, averting	avoidance, shunning, dodging
escape	avoidance, shunning, dodging
abandonment, forsaking, desertion	rejection
exposure	abandonment, forsaking, desertion
apostasy, tergiversation	abandonment, forsaking, desertion
bolt	abandonment, forsaking, desertion
renunciation, forgoing, forswearing	rejection
nonacceptance, turndown	rejection
forsaking	renunciation, forgoing, forswearing
abnegation, denial	renunciation, forgoing, forswearing, selflessness
forfeit, forfeiture, sacrifice	act, deed
boycott	protest, objection, dissent
banishment, proscription	rejection
anathematization, anathematisation	banishment, proscription
disbarment	banishment, proscription
ejection, exclusion, expulsion, riddance	banishment, proscription
deportation	ejection, exclusion, expulsion, riddance
ostracism	ejection, exclusion, expulsion, riddance
barring, blackball	ejection, exclusion, expulsion, riddance
exile, deportation, expatriation, transportation	banishment, proscription
excommunication, excision	banishment, proscription
relegation	banishment, proscription
rustication	banishment, proscription
ouster, ousting	ejection, exclusion, expulsion, riddance
deposition, dethronement	ouster, ousting
suspension	debarment
rustication	suspension
displacement	rejection
veto	vote, ballot, voting, balloting
finish, finishing	completion, culmination, closing, windup
finale, close, finis	finish, finishing
release	termination, ending, conclusion
completion, culmination, closing, windup	termination, ending, conclusion
finalization, finalisation	completion, culmination, closing, windup
graduation	completion, culmination, closing, windup
retirement	termination, ending, conclusion
hibernation	retirement
rustication	retirement
relinquishment, relinquishing	termination, ending, conclusion
cession, ceding	relinquishment, relinquishing
handover	relinquishment, relinquishing
surrender	delivery, livery
extradition	surrender
release, waiver, discharge	relinquishment, relinquishing
exemption, immunity	release, waiver, discharge
fix	exemption, immunity
dissolution, breakup	termination, ending, conclusion
splitsville	dissolution, breakup
overthrow	termination, ending, conclusion
subversion	overthrow
adjournment, dissolution	termination, ending, conclusion
dismissal, dismission, discharge, firing, liberation, release, sack, sacking	termination, ending, conclusion
conge, congee	dismissal, dismission, discharge, firing, liberation, release, sack, sacking
removal	dismissal, dismission, discharge, firing, liberation, release, sack, sacking
purge	removal
destruction, devastation	termination, ending, conclusion
disaster	destruction, devastation
kill	destruction, devastation
ruin, ruining, ruination, wrecking	destruction, devastation
razing, leveling, demolishing	destruction, devastation
annihilation, obliteration	destruction, devastation
decimation	destruction, devastation
atomization, atomisation	annihilation, obliteration
pulverization, pulverisation	annihilation, obliteration
vaporization, vaporisation	annihilation, obliteration
killing, kill	termination, ending, conclusion
deathblow	killing, kill
death	killing, kill
euthanasia	killing, kill
homicide	killing, kill
manslaughter	homicide
murder, slaying, execution	homicide
assassination	murder, slaying, execution
bloodshed, gore	murder, slaying, execution
parricide	murder, slaying, execution
mariticide	murder, slaying, execution
matricide	parricide
patricide	parricide
fratricide	murder, slaying, execution
uxoricide	murder, slaying, execution
filicide	murder, slaying, execution
dispatch, despatch	killing, kill
fell	killing, kill
suicide	killing, kill
harakiri, harikari, seppuku	suicide
suttee	suicide
elimination, liquidation	murder, slaying, execution
slaughter	killing, kill
slaughter, massacre, carnage, butchery	murder, slaying, execution
bloodbath, bloodletting, bloodshed, battue	slaughter, massacre, carnage, butchery
lynching	murder, slaying, execution
poisoning	killing, kill
gassing	poisoning
regicide	murder, slaying, execution
shooting	homicide
suffocation, asphyxiation	killing, kill
choking, strangling, strangulation, throttling	suffocation, asphyxiation
spasm	constriction
squeeze	constriction
bronchospasm	spasm
cardiospasm	spasm
heave, retch	spasm
laryngismus	spasm
strangulation	constriction
carjacking	hijack, highjack
sacrifice	killing, kill
hecatomb	sacrifice
immolation	sacrifice
electrocution	killing, kill
decapitation, beheading	killing, kill
abolition, abolishment	termination, ending, conclusion
liquidation, settlement	termination, ending, conclusion
withdrawal	termination, ending, conclusion
closure, closedown, closing, shutdown	termination, ending, conclusion
layoff	closure, closedown, closing, shutdown
extinction, extinguishing, quenching	termination, ending, conclusion
fade, disappearance	termination, ending, conclusion
abortion	termination, ending, conclusion
miscarriage, stillbirth	abortion
abrogation, repeal, annulment	cancellation
derogation	abrogation, repeal, annulment
cancellation	nullification, override
attainder	cancellation
recission, rescission	cancellation
vitiation	nullification, override
neutralization, neutralisation, counteraction	nullification, override
deactivation, defusing	termination, ending, conclusion
deactivation, inactivation	dismissal, dismission, discharge, firing, liberation, release, sack, sacking
neutralization, neutralisation	nullification, override
neutralization, neutralisation	destruction, devastation
undoing	reversal
regression, regress, reversion, retrogression, retroversion	reversal
springboard	beginning, start, commencement
accession	attainment
activation	beginning, start, commencement
attack	beginning, start, commencement
constitution, establishment, formation, organization, organisation	beginning, start, commencement
introduction, debut, launching, unveiling, entry	beginning, start, commencement
induction	introduction, debut, launching, unveiling, entry
hypnogenesis	induction
initiative, opening	beginning, start, commencement
groundbreaking	beginning, start, commencement, ceremony
icebreaker	beginning, start, commencement
inauguration, startup	beginning, start, commencement
initiation, founding, foundation, institution, origination, creation, innovation, introduction, instauration	beginning, start, commencement
authorship, paternity	initiation, founding, foundation, institution, origination, creation, innovation, introduction, instauration
installation, installing, installment, instalment	beginning, start, commencement
kickoff	beginning, start, commencement
start, starting	turn, play
resumption, recommencement	beginning, start, commencement
scrum, scrummage	beginning, start, commencement
startup	beginning, start, commencement
unionization, unionisation	constitution, establishment, formation, organization, organisation
reveille	awakening, wakening
inauguration, inaugural	initiation, induction, installation
baking	cooking, cookery, preparation
shirring	baking
toasting, browning	cooking, cookery, preparation
broil, broiling, grilling	cooking, cookery, preparation
frying, sauteing	cooking, cookery, preparation
braising	cooking, cookery, preparation
poaching	cooking, cookery, preparation
roasting	cooking, cookery, preparation
barbecuing	roasting
boiling, stewing, simmering	cooking, cookery, preparation
basting	moistening, dampening
tenderization, tenderisation	improvement
percolation	cooking, cookery, preparation
salting	seasoning
sweetening	seasoning
advancement, progress	development
forwarding, furtherance, promotion	advancement, progress
stride	advancement, progress
workflow	advancement, progress
development	improvement
broadening	development
elaboration	development
cleaning, cleansing, cleanup	improvement
disinfestation	cleaning, cleansing, cleanup
scrub, scrubbing, scouring	cleaning, cleansing, cleanup
swabbing, mopping	scrub, scrubbing, scouring
sweeping	cleaning, cleansing, cleanup
purge, purging	cleaning, cleansing, cleanup
purge, purging, purgation	clearing
purification	purge, purging, purgation
purification, purgation	ceremony
purification	cleaning, cleansing, cleanup
catharsis, katharsis, abreaction	purge, purging
catharsis, katharsis, purgation	purge, purging
sterilization, sterilisation	cleaning, cleansing, cleanup
pasteurization, pasteurisation	sterilization, sterilisation
sanitation, sanitization, sanitisation	cleaning, cleansing, cleanup
depilation, epilation	cleaning, cleansing, cleanup
shave, shaving	depilation, epilation
tonsure	shave, shaving
electrolysis	depilation, epilation
washup, bathing	cleaning, cleansing, cleanup, wash, washing, lavation
ablution	ritual, wash, washing, lavation
dishwashing, washup	wash, washing, lavation
wash, washing, lavation	work
rinse	wash, washing, lavation
soak, soaking	wash, washing, lavation
brush, brushing	haircare, hairdressing
comb, combing	haircare, hairdressing
teasing	comb, combing
shampoo	haircare, hairdressing
haircare, hairdressing	care, attention, aid, tending
hairweaving	haircare, hairdressing
shower	washup, bathing
bath	washup, bathing
mikvah	bath
rubdown	massage
correction, rectification	improvement
redress, remedy, remediation	correction, rectification
salve	redress, remedy, remediation
retribution	correction, rectification
recompense, compensation	correction, rectification
indemnification	recompense, compensation
optimization, optimisation	improvement
perfection	improvement
reform	improvement
amelioration, melioration, betterment	improvement
glamorization, glamorisation, glamourization, glamourisation	beautification
adornment	decoration
ornamentation, embellishment	decoration
trimming	decoration
tessellation	decoration
figuration	decoration
tattoo	decoration
titivation, tittivation	decoration
marking	decoration
lineation	marking
mottling	marking
striping	marking
clearing, clarification	improvement
enrichment	improvement
fortification	enrichment
humanization, humanisation	improvement
modernization, modernisation	improvement
renovation, redevelopment, overhaul	improvement
facelift	renovation, redevelopment, overhaul
moralization, moralisation	reform
enhancement, sweetening	improvement
upturn	improvement
downturn, downswing	worsening
downspin	downturn, downswing
ventilation, airing	improvement
repair, fix, fixing, fixture, mend, mending, reparation	improvement
darning	repair, fix, fixing, fixture, mend, mending, reparation
patching	repair, fix, fixing, fixture, mend, mending, reparation
care, maintenance, upkeep	repair, fix, fixing, fixture, mend, mending, reparation
overhaul, service	care, maintenance, upkeep
quickie, quicky	repair, fix, fixing, fixture, mend, mending, reparation
restoration	repair, fix, fixing, fixture, mend, mending, reparation
gentrification	restoration
reclamation, renewal, rehabilitation	restoration
reconstruction	repair, fix, fixing, fixture, mend, mending, reparation
anastylosis	reassembly, refabrication
makeover	reconstruction
reassembly, refabrication	reconstruction
regeneration	reconstruction
rebuilding	reconstruction
restitution	repair, fix, fixing, fixture, mend, mending, reparation
coaching	employment, work
engagement, booking	employment, work
gig	engagement, booking
dehumanization, dehumanisation	degradation, debasement
